,SalePrice,bldgtype_Duplex,bldgtype_TwnhsI,style_1p5Fin,style_2Story,style_SFoyer,style_SLvl,roof_hip,found_BrkTil,central_air,elec_sbrkr,bsmt_exposure,garage_perception,class_120,class_30,class_70,class_190,fullbaths_residual,halfbaths_residual,frontage_residual,LotArea,MasVnrArea,LowQualFinSF,living_area_residual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,shed,fence,MiscVal,LotShapeReg,slope_Bnk,slope_HLS,lotconfig_Corner,lotconfig_CulDSac,LandSlope_Gentle,ext_AsbShng,ext_BrkFace,ext_CemntBd,ext_HdBoard,ext_MetalSd,ext_Plywood,ext_Stucco,ext_VinylSd,ext_WdSdng,ext_WdShing,veneer_stone,zone_RM,alley_gravel,alley_paved,nbh_BrkSide,nbh_ClearCr,nbh_CollgCr,nbh_Crawfor,nbh_Edwards,nbh_Gilbert,nbh_IDOTRR,nbh_Mitchel,nbh_NAmes,nbh_NWAmes,nbh_NoRidge,nbh_NridgHt,oldtown_residual,nbh_SWISU,nbh_Sawyer,nbh_SawyerW,nbh_Somerst,nbh_StoneBr,nbh_Timber,prox_norm,prox_feeder,prox_artery,prox_rr,prox_positive,OverallCond,quality_residual,exterior_condition,bsmt_condition,bsmt_finished1,bsmt_finished2,home_funct,fireplace_ttlscore,gar_perception,driveway,salesmo_3,salesmo_4,salesmo_5,salesmo_6,salesmo_7,salesmo_8,salesmo_9,salesmo_10,salesmo_11,salesmo_12,salesyear_07,salesyear_08,salesyear_09,salesyear_10,sale_Abnorml,sale_Family,sale_Partial,remodeled,age_residual
SalePrice,1.0,-0.114654830022284,-0.09873019861048951,-0.16346607100995758,0.2428800272685404,-0.09308987468225105,-0.03864543349361034,0.23589691866460097,-0.20411736578270182,0.2513281638401573,0.24189604705962833,0.36186283187566154,0.6579080341084337,0.06294383548206024,-0.23863980017239217,-0.03688301717653536,-0.09357770607047866,0.13167191153152147,-0.011867860743452485,0.2529771268113007,0.2638433538714063,0.4754710491362497,-0.02560613000068015,0.3856173097557112,0.32441344456813076,0.31585622711605577,-0.12857795792595636,0.04458366533574792,0.11144657114291048,-0.06977143454737483,-0.12952496248319229,-0.02118957964030379,-0.2676717602887954,-0.10112449060458722,0.12001380186770777,0.004144823294072492,0.1418175365252596,-0.051116149337051664,-0.1097115364203968,0.030141602890654557,0.1334917623503356,-0.09126221004263814,-0.16890625305035564,-0.05454699244957979,-0.03847028985764433,0.3025526175811982,-0.1542011746353911,-0.051317406143120546,0.3304756465434077,-0.2880651218971229,-0.13919545817220863,-0.027655379955633733,-0.14364786671580496,0.055718310532912374,0.0726259931270773,0.07115960252664767,-0.17994896448338463,0.035939622294684025,-0.16405585189091604,-0.057845054186763285,-0.18851259699796893,0.023482773020255355,0.33042362576535905,0.40214859817526666,-0.018154525244699397,-0.06370549244437913,-0.12839406550544274,0.014560153318488835,0.1400579963436243,0.21536272276938662,0.1262363076697121,0.030676288435637716,-0.12369350250794904,-0.10640071096805158,-0.019521333791166315,0.07261343055272183,-0.0778558940486776,0.37297877454290945,0.018899118482413147,0.2126071564855757,0.36034216276722275,0.0359673700025409,0.10361745696478157,0.47789757665045784,0.14506695319752516,0.2273360869646036,0.008218710540249936,-0.03877382453986061,-0.043713670898706175,-0.02032442970778237,0.02976154923679875,0.014185025824275043,0.039474209699339076,-0.004354335279267226,0.03400130358128921,0.014464981029118428,0.03492133784614922,-0.022990440613435737,-0.010291517451967843,-0.016392040045442605,-0.11806923061460167,-0.04648019603234449,0.35205985467143425,-0.021932600051564746,-0.05896883624075668
bldgtype_Duplex,-0.114654830022284,1.0,-0.033477240099365854,-0.01786587659080422,-0.05499003222237892,0.18064738920112958,-0.023564294802076998,-0.05760548861159652,-0.06405884289881711,-0.12910691789580916,-0.07254738807494365,0.01736000389895079,-0.11575706793689623,-0.04837541481775314,-0.042801730167745605,-0.03978432113021778,-0.027835110713445604,0.15404352117416267,-0.04273010681507491,0.019375485283277812,-0.015346054256382568,0.007720157033339427,-0.023107637071807997,0.1588578609237151,-0.08325825638070054,-0.09705176461432072,-0.06028306694149366,-0.022357680162987614,-0.05192770353523539,0.005228515427064614,-0.04026715530438408,0.05319460818175717,0.06178123209641039,0.03194085548480699,0.004454022643707052,0.006086169209167202,-0.0353548124349226,0.029221356053509107,0.0350462827265341,0.023823203158734155,-0.040128821414815476,-0.0040707271814956385,0.03183567954362013,0.13854295075858591,0.02296718578328903,-0.08820133118526036,-0.05159059395892213,0.002067090574134649,-0.03343849874338409,-0.018295901553054775,0.00445402264370707,-0.032666384907542936,-0.0390877196178734,-0.026872486358879785,-0.0650294867191512,0.0036948023417478003,0.06493854481772954,-0.04596391901367811,-0.007473287142415319,0.12835162064502575,0.09198268825462554,-0.010174227545444616,-0.032666384907543,-0.045345544057507806,-0.009067243343212905,-0.025365556697659917,0.05668365993781716,0.05439983548851674,-0.04807908607628044,-0.02536555669765994,-0.03141538196915648,-0.0537194083778557,0.10888751873447274,0.026744835572378743,0.0681964915550458,-0.026872486358879694,-0.11268255994918201,-0.2286275993551116,-0.03522854990812915,-0.23846931227535667,-0.08677196396880832,-0.10806060957723347,0.027462185913232653,-0.14161618496352196,0.004380462323206572,-0.02690252907990228,-0.025285394461225973,-0.01278597555579779,-0.013492395535899702,0.0194213635163833,-0.0033671592665020203,0.03545461690641299,0.013753004857734839,-0.0026238255144418513,0.035714904939550075,-0.02066988078108146,0.01134158086796011,-0.03483675461026061,0.008425764762664276,0.00872859685382772,-0.008698474015381335,0.07273563316207199,-0.058805062794648436,-0.10943054779147586,0.0013791635751450094
bldgtype_TwnhsI,-0.09873019861048951,-0.033477240099365854,1.0,-0.05981885206942659,0.17508107369415157,0.07501779004718404,-0.017960496190913347,-0.06556529362381953,-0.05806682069248828,0.04595627077277744,0.053537324091054425,-0.05543851215770883,-0.09758999389183445,0.04171708364265545,-0.03879808436291132,-0.03606292179035627,-0.025231432689257646,0.026999789293712537,0.11856992284217223,-0.2906338641875858,-0.14186293626488777,0.0506902061429287,-0.014278447156972164,-0.11905362967414598,-0.05000323240570907,-0.05647942140534197,-0.0625945636865855,-0.020266357404782845,-0.04707042015910427,-0.03246264001507721,-0.038656098307373675,-0.015275257284945963,0.11566578929211345,-0.03699315518575137,-0.032803844799308646,-0.0816544958443774,-0.045697020007158216,0.04138496407068468,-0.022038642325449453,-0.0331420138264742,0.14584748557889637,0.033557476317034485,0.03905523677624328,-0.02025277353362385,-0.025657482135292658,-0.03580430727237302,-0.0745497072558688,-0.023456402267054824,0.08924300829952057,0.19982507851946554,-0.03280384479930865,0.09299770785981151,-0.03543147992720402,-0.02435885158630186,-0.0589466711256395,-0.03314201382647421,0.0008788229300160386,-0.041664484135423764,-0.028089739695238817,-0.009968356948151257,-0.07435447010459607,-0.03996432684809342,-0.02961079265971565,0.08577082494130935,-0.17322130573527134,-0.022992879138554915,-0.04025163699459688,-0.035748369716622784,0.11127619098007627,-0.022992879138554894,-0.02847680771677995,0.017748473589421488,-0.043581799856420196,-0.03211830167845534,-0.032118301678455446,-0.02435885158630162,-0.01726100226654595,0.08176937972739927,-0.006847323555405172,0.020535489655198576,0.02826463809992246,0.019175435391501097,-0.03839182830457781,-0.09527634753224654,0.022792945480992602,0.03237835864703723,-0.017515900911774025,0.02533552099313555,0.034958563085824144,-0.015534522489414426,0.0011950464063439506,0.020595546210940806,-0.01705590654374502,-0.027451455388204347,0.01205657577424807,-0.015175795894679453,-0.03577655929047787,-0.009512712546605072,0.029247956413482115,-0.0019221743473767736,0.032334172905456274,0.014323061397768663,-0.05330447573805032,-0.07704480866750696,-0.1823912607476511
style_1p5Fin,-0.16346607100995758,-0.01786587659080422,-0.05981885206942659,1.0,-0.2273713583406031,-0.05537161415388163,-0.07412391450462033,-0.14139609597110278,0.29433505033410073,-0.07213829079033413,-0.14856686796574922,-0.14822081218422298,-0.25438426232404027,-0.08643967585712503,-0.0659720217760371,-0.0710886684000016,0.07600533999319745,-0.1438456288952545,-0.05541072028352384,-0.08078088767877317,0.03206804494550737,-0.13612957694649247,0.1474849634990709,0.2563480149954834,-0.07317253650770178,-0.10906712042630315,0.14613050546412626,0.006004786593511605,0.042909848814301155,0.05981938717532977,0.04699954505511574,0.048793812740845134,0.11306375453153959,0.1026565540102564,-0.01562019448196722,0.018908955481706475,-0.053739226155168074,-0.007660830049279652,0.09981445379286559,0.03182529457682164,-0.04941592980612134,-0.12049742571100419,0.13403160226572466,-0.06710288180426299,0.04222876535966203,-0.1470223573002265,0.1921009298047536,0.07178237233910706,-0.10644901431385481,0.20024247274148088,0.15603398573922278,0.03610914156978136,0.21556850389960927,0.049531594066458545,-0.11619802691791924,0.04396981367827413,0.1010962089333299,-0.07227446827260678,0.1716345119666321,-0.01446723483429455,-0.05393286583336009,-0.06854819902435216,-0.03137594124112714,-0.08102574716232679,0.043491651010135586,0.1609313338277723,-0.02851875249270791,-0.05914523729941958,-0.08591018044180872,-0.045324479534523274,-0.028124863321109705,-0.03135153747973523,0.06561970593093704,0.21179664490727357,-0.013292963154969419,-0.0480171388521967,0.1250735555852035,-0.01391994268146227,0.013543463770553123,-0.05647330576161706,-0.19776931570433545,-0.0077063675746577714,-0.08071467149113555,-0.015123777069187638,-0.07319387958980637,-0.17821408836402042,-0.0015538522220397359,0.04625567158487008,-0.029056198560129882,0.013630563197837477,-0.010224527557308714,0.025232849697880973,0.025840769709128658,0.015026601834653779,-0.03284957618293514,-0.025175116741923412,-0.03577206498996951,0.027097301677537197,0.017698826411132275,-0.016880756739686236,0.029407025523407435,0.017081073424352965,-0.10507590655040784,0.2794144711121992,0.206217853006569
style_2Story,0.2428800272685404,-0.05499003222237892,0.17508107369415157,-0.2273713583406031,1.0,-0.10676905438652967,-0.1429277506177172,-0.10561573309129775,-0.06199772189836344,0.029894918963254982,0.11871465375049221,-0.09166472271537239,0.22310382733173006,-0.16667533706160256,-0.14747145485791305,0.30515896350078275,0.019468281540572126,-0.038834904855081336,0.4064172704128676,0.022916421518441178,-0.012718787843341867,0.17007397958834883,-0.05237155565224348,2.0172778293202535e-16,0.07257313967334236,0.18588109602705136,-0.022443517303808454,-0.025500346588490378,-0.018690020166932487,-0.04903362412097526,-0.07970611631852288,-0.02361923587540933,-0.07082547882001115,-0.04541579807118953,0.022583822981666276,0.007120431519339349,0.026367649812092515,0.024971075593623656,-0.024021646789999615,-0.0935567540671181,0.04021289436054363,0.00836078789509948,-0.056623024564734316,-0.08205010494328176,0.03665546834178654,0.17243082017025646,-0.12293070915210784,-0.044155046422762176,-7.207088778158794e-05,-0.0018587085012995272,0.022583822981667053,0.0765862087547761,-0.08896585423210292,-0.0057960356949986235,0.03568115964166216,0.036107189866899314,-0.09707628370041554,0.23625482031575254,-0.05943142322821286,-0.09860483558084027,-0.19195661393313831,0.04608333929107662,0.1846643704449708,0.016847868474790573,-0.02560679014365132,-0.007109508826277154,-0.11907980219573132,0.05302172619238408,0.14401150275887065,-0.007109508826277174,-0.024131633847454956,-0.006316659075381784,-0.045579835408803296,-0.03029178571421462,0.044808981131971924,0.03759992386755252,-0.04551427493472081,0.07247544284078763,-0.030463834860399053,0.08344676768814147,-0.001968500071272666,-0.026621845187348385,0.031597003645173746,0.09805161258898942,-0.011893935304717319,0.02127190221241363,-0.01323593450388007,-0.020028906693643458,-0.017931098860618354,0.015280548498581648,0.05547686032015215,0.009759439479831156,0.013165816668898774,-0.050540668872197075,0.012635995251895673,-0.014982713257877136,-0.004549216001702859,-0.0024095863681609167,-0.0036001323199121344,-0.010715368062435775,-0.04564424188549885,-0.026829473858339677,0.04201544163544698,-0.04807407762753783,-0.013055169562857929
style_SFoyer,-0.09308987468225105,0.18064738920112958,0.07501779004718404,-0.05537161415388163,-0.10676905438652967,1.0,-0.03480711166456789,-0.057626437298076975,-0.05374983770660292,0.0425396477055119,0.04955708693574884,0.23377846669109179,-0.06933759378601194,-0.02218031105936229,-0.03591363730550219,-0.03338182063941276,-0.023355599565796827,0.06626555681218409,-0.012591000524791675,-0.06461440922974765,-0.04596102579385085,-0.03439281425339219,-0.019388919408904193,-0.107264258150191,-0.023305873925268974,-0.07161774353216649,-0.014501400336233625,-0.018759653248106863,-0.028558775106098236,0.018347747801264216,0.0007935605504204231,-0.005352304090807801,0.014093872279215752,-0.012795178978115699,-0.03036504001920571,-0.018882378432172928,0.06424004083309631,0.03830819520967301,-0.020400177487589856,-0.030678067839754054,0.1187954012845289,0.04758171405061457,-0.0075981187025467,0.05813144890637377,-0.023749974327600235,-0.06471909631138255,-0.056958670472314246,0.04419245473307812,-0.01916705702148826,0.042496983678157164,-0.006401278706751346,-0.027409375626958415,-0.03279732337813975,-0.022547890583103004,-0.011502739176426576,-0.03067806783975394,0.042543158964466636,-0.03856693433016185,-0.026001405481377488,0.09094317270599299,0.003596343838847885,-0.016996864367759355,-0.027409375626958447,-0.0380480746063199,-0.04141838049444542,-0.021283471479346026,0.08194830291419786,0.03330287071333469,-0.040341707042130415,-0.02128347147934601,-0.02635969689618408,0.01642896173054574,0.015188361105114012,-0.029730463663082296,-0.005289879795908946,-0.022547890583102963,0.030214411970706716,-0.023122724172497243,0.06095307255377892,0.011113239374271614,0.12911695086014016,0.03497097367344251,0.01708819011692149,-0.08546026442336903,0.017600370248947863,0.045378909399319496,-0.028321905652960614,0.03580435760942182,0.023005053008826014,0.006774479862033074,-0.01104951699122221,-0.01719400437591282,-0.03424289574970067,-0.0228689077268197,-0.019303258612735182,0.05543404560703824,0.006908661440494797,-0.02902405732003235,0.00448674272403291,0.02099966197818558,-0.009610551918115913,0.018489830949737805,-0.03376562266942278,-0.0841010107453657,-0.08061994191998344
style_SLvl,-0.03864543349361034,-0.023564294802076998,-0.017960496190913347,-0.07412391450462033,-0.1429277506177172,-0.03480711166456789,1.0,0.002235135003353076,-0.0719529028669689,0.05694623965299324,0.030861569313450618,0.22490434919992366,0.02984386987648486,-0.05433678421305833,-0.048076246680924084,-0.04468699814688194,-0.007856401172962579,-0.014039945935810002,0.03198030724123089,0.044702728672897867,0.000452370925992238,0.03196031210755956,-0.02595522320531353,-0.021480882650434723,0.03644649052220143,-0.043316367694070664,-0.01098034248975388,0.0004959393613481195,0.014182345445338078,-0.0033468831103483695,0.1575091671947062,-0.010892974567166838,-0.04260451944487636,-0.029496355550643057,-0.04064854645663681,-0.006125924193226039,0.03808980622546492,-0.007788352872429232,0.026030276429623588,-0.004893422661840756,-0.02847673365840913,0.13074502451911627,-0.026668679009759992,0.06642272858206139,-0.031793204757471445,-0.06261465087538896,-0.018928269641589848,-0.029065759306299906,-0.05517257279334021,-0.0624812723718241,-0.04064854645663642,-0.03669190878112189,-0.04390455346498591,0.042456643638122855,-0.04022992530511298,-0.04106758512405585,0.020351442762869806,0.051125408392635824,-0.03480711166456747,0.051971411317299404,0.10101839039658234,0.057140058514650746,-0.03669190878112192,-0.050933538280942145,-0.0267042940159892,-0.028491389395156413,0.02582011010884556,-0.027433091900187608,-0.05400393847018922,-0.02849138939515661,0.048144260715897336,0.0219928382678232,-0.011689582388002055,-0.02117514236505395,-0.03979906275841596,-0.005970465511610984,0.05254947835345201,-0.08107729487339974,0.02430578189482667,0.049512191319137505,0.08756641337700306,0.08040435776718906,-0.006511342128915405,0.011704835701596058,0.049567868483104065,0.06074705337793331,0.016392136415225217,-0.048090213646501914,0.03752687004210499,-0.011087629179363522,-0.021886572718387256,0.018822778349226927,-0.029496355550643297,0.05604363508311374,-0.007590891511590891,0.023159304951525902,-0.005144684835563794,0.011988208355034786,-0.00825073939948168,-0.008088492998989201,0.04584916604622694,-0.025439192771645917,-0.06605169216110642,-0.06639913821568885,-0.007093396084696619
roof_hip,0.23589691866460097,-0.05760548861159652,-0.06556529362381953,-0.14139609597110278,-0.10561573309129775,-0.057626437298076975,0.002235135003353076,1.0,-0.11275031181707126,0.02525604960404727,0.028775428644000466,0.0603689472933113,0.1561734262329931,0.02156108829435745,-0.04486487374016035,-0.02393697934439513,0.025829499013556058,0.008814873971764383,-0.11339646994183174,0.12048117966893901,0.0871122896313617,0.2634272792658023,-0.018588022873412373,0.12331185221860679,0.07885455531788675,0.0321050985815994,-0.04148961087167401,0.030140912304029807,0.06853643507732238,-0.015318711595155668,-0.015188910287808837,0.04372643082067583,-0.018619883247654276,-0.011390089710103874,0.04939715864600837,-0.006822122718133744,0.03224846916448124,0.0098188015842792,-0.034724366714993425,0.08468377077099068,0.01768727614019101,0.05048928956021762,-0.01676233517329212,-0.029030376333713394,0.03504455030886093,-0.03707925316586142,0.003477064632416417,-0.04036227328337775,0.10328416267359042,-0.09056987835444849,-0.06447629128531548,-0.06300550400673735,-0.08271797642742398,-0.03126797015180784,-0.08175624799563297,0.028288010397425522,0.009640081402241487,-0.07228036240390294,-0.024684151293694476,-0.015318711595155753,0.07133709621810748,0.04513474424050955,0.07279332248064155,0.14605576628912664,0.021235712200432025,-0.05184408888176465,0.05903879482830306,-0.057468688301851985,-0.05751397018662082,0.06788022182234478,0.09274132876718955,-0.001054984044253958,0.0231140292195537,-0.0522891846473444,-0.06196745665357264,0.044230215771520885,-0.0256719544176689,0.06055584750727186,-0.014254457875311507,-0.0074737835632700264,0.06526990126388804,0.021269361674839303,-0.026536654875929058,0.14998903205646058,0.0569617526315541,0.03963042556194709,0.014868625409331513,0.0022169747439551267,-0.029675081058619164,-0.007114145759859019,0.014872897035004082,-0.024313073015873862,-0.011390089710104027,0.025720142358435342,0.019258740481479495,0.0038776658285981625,-0.0018502543412447533,-0.01934179829295282,0.03596023385217201,-0.012118715227931981,-0.03934264886769817,-0.01362672493487814,0.07101580413434402,-0.04954791062270897,0.04510838795746549
found_BrkTil,-0.20411736578270182,-0.06405884289881711,-0.05806682069248828,0.29433505033410073,-0.06199772189836344,-0.05374983770660292,-0.0719529028669689,-0.11275031181707126,1.0,-0.29158230898835963,-0.18212248868478964,-0.16660071376720392,-0.26878179356407683,-0.08390794849903169,0.34537879290839324,0.26452513108124026,0.09656090991705168,-0.11727421077980388,-0.10955421882318646,-0.1253047778040886,-0.045355708869665175,-0.17863925829757527,0.11074413533702304,0.09621803998603683,-0.11710547122353825,-0.06633528893107114,0.276697250390793,-0.027561831685577267,0.016511435653985777,0.013944722735035346,0.014556123218292907,-0.010723322316509076,0.13030578045063562,0.13146075713975508,-0.02510811923849029,0.03980417239484777,-0.08744144430347282,0.01827468616732175,0.08617559707564316,0.02362608497443226,-0.05819358955797096,-0.14016528810518933,0.10046135295021061,-0.09216552081168863,0.20430147130129628,-0.18475176343692026,0.2865647707405028,0.04143131687273853,-0.10333123443894987,0.34720741152356116,0.263635252004144,0.06771606282134604,0.306261237482037,-0.02996406467067336,-0.1127947086987348,0.13553911906384586,0.06327138353043908,-0.07972516957101114,0.09151999393286518,-0.062117401274249084,-0.13595414949251253,-0.07647191129018784,-0.05666037909541048,-0.07865258809194767,0.15568456618689783,0.18478728707195655,-0.0666133452895943,-0.05681064915648067,-0.08339396144854179,-0.04399697311237147,-0.05449049403040745,-0.12452652864874622,0.042666677950418,0.11779547440707563,0.040972338924198236,-0.01331736207585404,0.1867665969531879,-5.03851269813246e-16,0.05074525729476229,-0.047567326245448176,-0.23352748247675575,-0.03388297201358189,-0.07475180702378298,-0.05358072764271651,-0.2752471747756918,-0.2908011243282802,-0.005279195326130179,-0.008502359741072281,0.03687710916108435,-0.007841663499102739,0.00995739107105415,0.0066002556906077856,0.00786517350408785,0.020039381318108264,-0.00908261425492499,-0.022028619060676016,-0.004918039395380702,0.04273430336804549,0.006495389706472846,-0.05271927394672372,0.03508915719577545,0.01964185503295948,-0.09383847607552234,0.34466627621857543,-1.9426061874828412e-16
central_air,0.2513281638401573,-0.12910691789580916,0.04595627077277744,-0.07213829079033413,0.029894918963254982,0.0425396477055119,0.05694623965299324,0.02525604960404727,-0.29158230898835963,1.0,0.3441580079137762,0.10248400415151218,0.3030508579725887,0.06640791342151951,-0.20298132649520628,-0.15521984419863644,-0.23583543787142275,0.030298453304348456,0.11298855675118588,0.05596522030208786,0.049754938245083244,0.12742985319795824,-0.05014864234960139,-0.07251306548502957,0.145972819771445,0.02585755970715549,-0.1569131649338888,0.030691765521046042,0.05120623810829598,0.0029043103237740933,0.016668347121544993,-0.002477906289532309,-0.11418195691283795,-0.13530738160404393,0.01913940369843239,-0.03531351106462785,0.05788995300537607,0.01141837540436775,-0.21193982011307935,-0.010307524311509237,0.04120853722825379,0.08566623643138044,-0.03522546277778572,0.07250981846822366,-0.17303868469698191,0.13727094753352245,-0.15580870706934832,-0.006471770913311024,0.0817802340911688,-0.18556134751367181,-0.19463623105345348,-0.05601077607089263,-0.11695717654651601,0.03688951824526025,0.08926998435383918,-0.02543213284900144,-0.1263555649808994,0.05082270682614262,-0.22250111609270343,0.04916205293516385,0.051073420821788805,0.06052275326688098,0.044843159875874394,0.06224862309020784,-0.059955696363529654,-0.11501880859713846,0.035638237566563806,0.040036060152679416,0.06600112469459743,0.03482086302335183,0.04312583103982243,0.055737797551791465,-0.04015001098312909,-0.06037405357593616,-0.029227015335347377,-0.0036057423848748623,0.11896942542421683,0.17687262368612264,0.09446944625029223,0.27579346787644937,0.2173813089797586,0.10389000086445888,0.08953320530714029,0.17003080528564676,0.2039787977113688,0.3365127621367171,-0.011801453048084455,-0.017160784236179727,-0.03785393734807602,0.05475013704719445,0.024419660119270103,0.009416390635814238,0.0013572860831949716,-0.025638219412610266,-0.010551281566055339,-0.00226983694472379,0.029294842773132886,-0.015177532552995263,-0.013212491271881678,0.0033086416413143135,-0.037515050743864985,-0.01669074797768929,0.08072533400542334,-0.17631999448676608,-0.17255450915291082
